['PTS'] : -0.49259875718175133 ,
['FGM'] : 0.19513452044125132 ,
['FGA'] : 0.14222373226465795 ,
['FTM'] : -0.07877815692962932 ,
['FTA'] : 0.04783250841376069 ,
['REB'] : 0.04180886841906709 ,
['AST'] : 0.43983693192172224 ,
['STL'] : 0.5267016327613727 ,
['BLK'] : 0.6879988661837046 ,
['TO'] : 0.29191741929108267 ,
['Win'] : -0.19507697442276756 ,
['REB', 'BLK', 'Win'] : -0.004571385096519344 ,
['REB', 'TO', 'Win'] : -0.09515103169874659 ,
['AST', 'STL', 'BLK'] : 0.05566162977628929 ,
['AST', 'STL', 'TO'] : -0.08562856772235043 ,
['AST', 'STL', 'Win'] : 0.18377395608217764 ,
['AST', 'BLK', 'TO'] : 0.02351225553926052 ,
['AST', 'BLK', 'Win'] : 0.28135262560897917 ,
['AST', 'TO', 'Win'] : 0.06710866812263636 ,
['STL', 'BLK', 'TO'] : -0.07025809916110615 ,
['STL', 'BLK', 'Win'] : 0.21331949305556813 ,
['STL', 'TO', 'Win'] : 0.08685282893236325 ,
['BLK', 'TO', 'Win'] : 0.02197756585842028 ,
['PTS', 'FGM', 'FGA', 'FTM'] : -0.34520152978240676 ,
['PTS', 'FGM', 'FGA', 'FTA'] : -0.5291267567121188 ,
['PTS', 'FGM', 'FGA', 'REB'] : -0.5819757959994739 ,
['PTS', 'FGM', 'FGA', 'AST'] : -0.3392043705870095 ,
['PTS', 'FGM', 'FGA', 'STL'] : -0.5444470324435701 ,
['PTS', 'FGM', 'FGA', 'BLK'] : -0.6080289960962152 ,
['PTS', 'FGM', 'FGA', 'TO'] : -0.5902760220732911 ,
['PTS', 'FGM', 'FGA', 'Win'] : -0.2771406810488458 ,
['PTS', 'FGM', 'FTM', 'FTA'] : -0.46604903361401123 ,
['PTS', 'FGM', 'FTM', 'REB'] : -0.545668445984043 ,
['PTS', 'FGM', 'FTM', 'AST'] : -0.6054295695126717 ,
['PTS', 'FGM', 'FTM', 'STL'] : -0.5185783822368711 ,
['PTS', 'FGM', 'FTM', 'BLK'] : -0.27118656829454885 ,
['PTS', 'FGM', 'FTM', 'TO'] : -0.4275528226303681 ,
['PTS', 'FGM', 'FTM', 'Win'] : -0.5112682412880586 ,
['PTS', 'FGM', 'FTA', 'REB'] : -0.5559613075701818 ,
['PTS', 'FGM', 'FTA', 'AST'] : -0.6390786333069485 ,
['PTS', 'FGM', 'FTA', 'STL'] : -0.5452235821679949 ,
['PTS', 'FGM', 'FTA', 'BLK'] : -0.46307544791543753 ,
['PTS', 'FGM', 'FTA', 'TO'] : -0.5440900668564822 ,
['PTS', 'FGM', 'FTA', 'Win'] : -0.42796747509918903 ,
['PTS', 'FGM', 'REB', 'AST'] : -0.4752767744808104 ,
['PTS', 'FGM', 'REB', 'STL'] : -0.6277641648225323 ,
['PTS', 'FGM', 'REB', 'BLK'] : -0.606735722233522 ,
['PTS', 'FGM', 'REB', 'TO'] : -0.6420796140303504 ,
['PTS', 'FGM', 'REB', 'Win'] : -0.47534346921149734 ,
['PTS', 'FGM', 'AST', 'STL'] : -0.3522028440056219 ,
['PTS', 'FGM', 'AST', 'BLK'] : -0.3270621934147373 ,
['PTS', 'FGM', 'AST', 'TO'] : -0.48276440061268105 ,
['PTS', 'FGM', 'AST', 'Win'] : -0.27336867624287936 ,
['PTS', 'FGM', 'STL', 'BLK'] : -0.3561625129150709 ,
['PTS', 'FGM', 'STL', 'TO'] : -0.5709637569317481 ,
['PTS', 'FGM', 'STL', 'Win'] : -0.3170990183366329 ,
['PTS', 'FGM', 'BLK', 'TO'] : -0.5978275395097171 ,
['PTS', 'FGM', 'BLK', 'Win'] : -0.14636534071250418 ,
['PTS', 'FGM', 'TO', 'Win'] : -0.41043973927079547 ,
['PTS', 'FGA', 'FTM', 'FTA'] : -0.5726072653454668 ,
['PTS', 'FGA', 'FTM', 'REB'] : -0.6247636349847545 ,
['PTS', 'FGA', 'FTM', 'AST'] : -0.06821000339424838 ,
